Game_Name,Game_url,Tags
Wolcen: Lords of Mayhem,https://store.steampowered.com/app/424370/Wolcen_Lords_of_Mayhem/?snr=1_7_7_7000_150_4,"Hack and Slash,Action RPG,Isometric,Multiplayer,RPG,Action,Loot,Adventure,Indie,Co-op,Character Customization,Dark Fantasy,Dungeon Crawler,Singleplayer,Controller,Fantasy,Top-Down,Medieval,Online Co-Op,Difficult"
Lost Light,https://store.steampowered.com/app/1797880/Lost_Light/?snr=1_7_7_7000_150_4,"Free to Play,Shooter,Survival,Multiplayer,Action,Massively Multiplayer,Battle Royale,Third-Person Shooter,Gun Customization,FPS,PvP,Third Person,Looter Shooter,3D,Post-apocalyptic,Open World,Sandbox,War,Controller,Zombies"
My Friendly Neighborhood,https://store.steampowered.com/app/1574260/My_Friendly_Neighborhood/?snr=1_7_7_7000_150_4,"Survival Horror,Horror,Puzzle,Action-Adventure,Shooter,FPS,Open World,Survival,Story Rich,Multiple Endings,First-Person,Choices Matter,Atmospheric,Action,Adventure,Exploration,Resource Management,Realistic,Lore-Rich,3D"
Risk of Rain 2,https://store.steampowered.com/app/632360/Risk_of_Rain_2/?snr=1_7_7_7000_150_4,"Third-Person Shooter,Action Roguelike,Multiplayer,Action,Co-op,Roguelite,Looter Shooter,Roguelike,Loot,Online Co-Op,Shooter,Difficult,Third Person,Indie,Survival,Singleplayer,Great Soundtrack,Soundtrack,Early Access,Bullet Hell"
The Beast Inside,https://store.steampowered.com/app/792300/The_Beast_Inside/?snr=1_7_7_7000_150_4,"Horror,Adventure,Action,Survival Horror,Multiplayer,First-Person,Singleplayer,Indie,Survival,Story Rich,Psychological Horror,Violent,Atmospheric,Gore,Walking Simulator,Exploration,Open World,Realistic,Great Soundtrack,Co-op"
,https://store.steampowered.com/agecheck/app/440900/?snr=1_7_7_7000_150_3,
Albion Online,https://store.steampowered.com/app/761890/Albion_Online/?snr=1_7_7_7000_150_4,"Free to Play,MMORPG,Open World,Massively Multiplayer,Sandbox,RPG,Crafting,Multiplayer,PvP,Survival,Loot,PvE,Economy,Medieval,Co-op,Fantasy,Strategy,Action,Singleplayer,Difficult"
Warface,https://store.steampowered.com/app/291480/Warface/?snr=1_7_7_7000_150_4,"Free to Play,FPS,Realistic,Multiplayer,Shooter,Action,PvP,Co-op,Gun Customization,Character Customization,First-Person,Online Co-Op,Tactical,Strategy,Massively Multiplayer,Military,Team-Based,Adventure,Moddable,Class-Based"
ARK: Survival Evolved,https://store.steampowered.com/app/346110/ARK_Survival_Evolved/?snr=1_7_7_7000_150_4,"Open World Survival Craft,Survival,Multiplayer,Open World,Dinosaurs,Crafting,Building,Adventure,Base Building,Co-op,Action,First-Person,Sandbox,Massively Multiplayer,Singleplayer,Early Access,RPG,Dragons,Sci-fi,Indie"
Stellaris,https://store.steampowered.com/app/281990/Stellaris/?snr=1_7_7_7000_150_4,"Space,Grand Strategy,Strategy,Sci-fi,4X,Exploration,Sandbox,Simulation,Multiplayer,Real-Time with Pause,Moddable,Singleplayer,Diplomacy,Management,Futuristic,Military,Replay Value,Atmospheric,Great Soundtrack,Procedural Generation"
A Plague Tale: Requiem,https://store.steampowered.com/app/1182900/A_Plague_Tale_Requiem/?snr=1_7_7_7000_150_4,"Adventure,Action,Action-Adventure,Exploration,Interactive Fiction,Cinematic,3D,Third Person,Realistic,Atmospheric,Alternate History,Dark,Emotional,Female Protagonist,Drama,Medieval,Historical,Singleplayer,Mystery,Narration"
LISA: The Painful,https://store.steampowered.com/app/335670/LISA_The_Painful/?snr=1_7_7_7000_150_4,"Dark Humor,RPG,Story Rich,Post-apocalyptic,Great Soundtrack,Indie,Choices Matter,Psychological Horror,Dark,Pixel Graphics,RPGMaker,Adventure,Funny,Singleplayer,2D,Atmospheric,Comedy,Horror,Side Scroller,Platformer"
Factorio,https://store.steampowered.com/app/427520/Factorio/?snr=1_7_7_7000_150_4,"Automation,Base Building,Resource Management,Sandbox,Crafting,Strategy,Multiplayer,Survival,Management,Open World,Building,Co-op,2D,Moddable,Singleplayer,Trains,Simulation,Pixel Graphics,City Builder,Indie"
Solasta: Crown of the Magister,https://store.steampowered.com/app/1096530/Solasta_Crown_of_the_Magister/?snr=1_7_7_7000_150_4,"Co-op Campaign,Isometric,Multiplayer,RPG,Character Customization,Co-op,Choices Matter,Fantasy,Story Rich,CRPG,Class-Based,Singleplayer,Dungeons & Dragons,Stealth,PvE,Adventure,Party-Based RPG,Team-Based,Combat,Strategy RPG"
Brotato,https://store.steampowered.com/app/1942280/Brotato/?snr=1_7_7_7000_150_4,"Action Roguelike,Roguelite,Bullet Hell,Arena Shooter,Top-Down Shooter,2D,Casual,RPG,Top-Down,Action,Post-apocalyptic,Procedural Generation,Hand-drawn,Funny,Aliens,Cartoony,Controller,Combat,Perma Death,Cute"
Project Zomboid,https://store.steampowered.com/app/108600/Project_Zomboid/?snr=1_7_7_7000_150_4,"Survival,Zombies,Open World,Open World Survival Craft,Multiplayer,Sandbox,Post-apocalyptic,Co-op,Crafting,Indie,Building,Simulation,RPG,Survival Horror,Realistic,Singleplayer,Isometric,2D,Early Access,Adventure"
Hades,https://store.steampowered.com/app/1145360/Hades/?snr=1_7_7_7000_150_4,"Action Roguelike,Hack and Slash,Roguelite,Indie,Action,Mythology,Roguelike,RPG,Great Soundtrack,Singleplayer,Story Rich,Dungeon Crawler,Replay Value,Isometric,Difficult,Action RPG,Hand-drawn,Atmospheric,Perma Death,Souls-like"
GTFO,https://store.steampowered.com/app/493520/GTFO/?snr=1_7_7_7000_150_5,"Online Co-Op,Horror,Co-op,FPS,Difficult,Shooter,Multiplayer,Survival Horror,Action,Stealth,Tactical,First-Person,Team-Based,Gore,Zombies,PvE,Character Customization,Atmospheric,Violent,Replay Value"
War Thunder,https://store.steampowered.com/app/236390/War_Thunder/?snr=1_7_7_7000_150_4,"Free to Play,Vehicular Combat,Combat,VR,World War II,Flight,War,Military,Tanks,Naval Combat,Modern,Simulation,Cold War,Massively Multiplayer,Action,Third-Person Shooter,Shooter,Third Person,Realistic,Historical"
Teardown,https://store.steampowered.com/app/1167630/Teardown/?snr=1_7_7_7000_150_5,"Destruction,Physics,Sandbox,Voxel,First-Person,Heist,Open World,Singleplayer,Realistic,Simulation,3D,Action,Puzzle,Driving,Indie,Replay Value,Tactical,Immersive Sim,Puzzle Platformer,Runner"
eFootball™ 2023,https://store.steampowered.com/app/1665460/eFootball_2023/?snr=1_7_7_7000_150_5,"Football (Soccer),Free to Play,Sports,Multiplayer,eSports,Simulation,Controller,PvP,Local Multiplayer,Co-op,Online Co-Op,Local Co-Op,Singleplayer,Realistic,Comedy,Memes,Violent,LGBTQ+,Anime,Funny"
Soulstone Survivors,https://store.steampowered.com/app/2066020/Soulstone_Survivors/?snr=1_7_7_7000_150_5,"Early Access,Action Roguelike,Action RPG,Bullet Hell,Roguelite,Arcade,Top-Down,Procedural Generation,Action,Roguelike,Score Attack,Colorful,Controller,Dark Fantasy,Twin Stick Shooter,RPG,Singleplayer,Crafting,Character Customization,Hack and Slash"
ULTRAKILL,https://store.steampowered.com/app/1229490/ULTRAKILL/?snr=1_7_7_7000_150_5,"Early Access,FPS,Arena Shooter,Spectacle fighter,Character Action Game,Blood,Retro,Fast-Paced,Singleplayer,Shooter,First-Person,Difficult,Action,Old School,Robots,3D,Silent Protagonist,Stylized,Sci-fi,Cyberpunk"
War Robots,https://store.steampowered.com/app/767560/War_Robots/?snr=1_7_7_7000_150_5,"Free to Play,Action,Robots,Multiplayer,Shooter,Mechs,FPS,PvP,Massively Multiplayer,Controller,War,First-Person,Third-Person Shooter,Third Person,Co-op,Strategy,Singleplayer,MMORPG,VR,RPG"
Frozenheim,https://store.steampowered.com/app/1134100/Frozenheim/?snr=1_7_7_7000_150_5,"Strategy,Base Building,RTS,War,Medieval,Multiplayer,Grand Strategy,Real Time Tactics,Naval Combat,3D,Management,Stylized,Singleplayer,Fantasy,Vikings,Combat,Violent,Gore,Exploration,Historical"
